P01730	P01730
P00968	P00907
P09798	P09798
Q62311	P21675
P29375	P06400
P07278	P06244
P20226	P09086
P14003	P16371
Q01069	Q01070
P06782	P38717
P27986	P06213
P31946	P04049
P07342	P25605
P20227	Q27272
P38930	P15790
P09775	Q01068
P10083	Q01070
Q9DH70	P04637
Q92793	P36956
P00519	Q13315
P39958	P20338
P35609	P35439
P02593	P35609
Q15172	P31314
P07269	P22035
P00639	P02568
P10417	P04925
P04273	P10809
P04273	P0A6F5
P42573	P30429
P14922	P27705
Q15628	P19438
P01350	P35570
P05453	P05453
P05453	P12385
Q62622	P06730
Q00987	P04637
P14859	Q64693
P09086	Q64693
P19262	P09624
Q00764	P31688
Q00764	P38427
P31688	P38426
P31688	P38427
P42345	P20071
Q99075	P00587
P09798	P53886
P14724	P09798
P53886	P53886
P16522	P09798
P38042	P09798
P16522	P16522
P16522	P38042
Q12495	P13712
Q12495	Q04199
P20227	P51123
P13393	P46677
P21675	P20226
P47825	P51123
P49905	P47825
P0A8P6	P21891
Q16594	Q62311
Q62311	Q16514
Q62311	P20226
Q62311	P29083
Q16594	P49848
Q15572	P20226
P04637	Q27272
Q16594	P04637
P49848	P04637
P47825	P08047
P08047	P25490
P18846	P03254
P03254	P15336
P03254	P18847
P45984	P03254
P03254	P06400
P07001	P0AB67
P38995	P38636
P06400	P32519
P06400	P03129
Q13029	P06400
Q63755	P06400
P13393	P29056
Q15544	Q15543
P20226	Q15544
Q15543	P20226
Q12962	Q15543
Q16514	P20226
Q16514	Q15544
Q12962	Q16514
P61830	P06701
P06701	P02309
P11978	P61830
P11978	P02309
P11978	P06701
P06701	P11938
P02293	P06701
P06701	P06701
P11978	P11938
P06700	P11978
P38959	Q07468
P23287	P25296
P07278	P06245
P07278	P05986
P09959	P25302
P24869	P25302
P29295	P09959
P38930	P38930
P53540	P53378
P38863	P53378
P38863	P53540
P32380	P53540
P38863	P32380
P06239	P06127
Q62225	P14753
P01112	Q13671
Q13671	P42655
P42684	Q13671
P09759	Q60631
Q60760	P09759
Q6P7B6	P09759
Q60898	Q03145
P70304	Q03145
P29317	P20827
Q13158	P25445
P39429	P20333
P00533	Q13596
Q13546	P25445
P25445	P25445
Q13546	P19438
P01830	P70304
P39429	P39429
P39429	P39428
Q13546	P39429
P14778	P51617
P27797	P13747
P21856	P20339
P19097	P07149
P14859	P20226
P09086	P13393
P30681	P09086
P0A7H6	P15027
