P31266_Q69138;0_1_3_6_7;0_0_0_1_9;10376;10090
P31266_Q69139;0_1_3_6_7;0_0_0_1_9;10376;10090
P03203_P31266;0_1_3_6_7;0_0_0_1_9;10376;10090
P07696_P0ACB0;0_1_6_7_9;3_3_3_3_8;10679;83333
P03623_P25714;0_1_2_7_8;3_3_3_3_8;10872;83333
P03623_P07019;0_1_2_7_8;3_3_3_3_8;10872;83333
P03586_Q75WV4;1_2_2_3_4;0_4_7_9;12243;4097
A5YVF1_Q764F6;0_1_2_3_8;0_1_4_8;10832;4081
Q06A28_Q62172;0_1_3_6_6;0_0_0_1_9;10366;10090
P06492_Q01939;0_1_2_9_9;2_3_4_9;10299;4932
Q65967_Q9FHW7;1_3_5_7_9;0_2_3_7;91753;3702
Q39255_Q65967;1_3_5_7_9;0_2_3_7;91753;3702
Q03035_Q775D6;1_4_6_9_9_9;1_5_8;194699;518
O35393_Q9IH62;1_1_1_2_7_9;0_0_0_1_9;121791;10090
P11126_Q48EH2;0_1_7_8_9;1_3_9;10879;319
P03134_P58774;0_1_4_7_9;0_0_0_1_9;10794;10090
P03134_P21107;0_1_4_7_9;0_0_0_1_9;10794;10090
P03134_Q60737;0_1_4_7_9;0_0_0_1_9;10794;10090
P62940_Q72497;1_1_6_6_7;4_4_5_9;11676;9544
P62940_Q76929;0_1_1_7_9;4_4_5_9;11709;9544
P03255_P45481;2_2_5_8_8;0_0_0_1_9;28285;10090
P03496_P23726;0_1_1_2_4_4;1_3_9_9;211044;9913
O54918_P03182;0_1_3_7_7;0_0_0_1_9;10377;10090
Q9IJX4_Q9VUQ5;1_1_2_3_6;2_2_7_7;12136;7227
E2RZS2_Q9GJT3;1_1_2_3_4;0_4_9_9;11234;9490
Q6P5F9_Q83414;0_1_4_7_9;0_0_0_1_9;10794;10090
Q8SDV3_Q9F0J8;0_1_2_3_6;0_1_2_8;12360;1280
A4ZF81_Q7X3P4;3_3_5_6_9;0_1_2_8;53369;1280
P0CE47_Q8LTE0;0_3_3_8_9;3_3_3_3_8;39803;83333
P0A6P1_Q8LTE0;0_3_3_8_9;3_3_3_3_8;39803;83333
P03588_Q04947;0_1_2_2_3;2_3_4_9;12302;4932
P03588_Q12443;0_1_2_2_3;2_3_4_9;12302;4932
P03588_Q12402;0_1_2_2_3;2_3_4_9;12302;4932
P63073_Q6UY77;1_1_2_6_8;0_0_0_1_9;11628;10090
P18541_P63073;1_1_2_4_6;0_0_0_1_9;11624;10090
P03228_P07141;0_1_3_7_7;0_0_0_1_9;10377;10090
P0A8V2_P13338;0_1_5_6_6;3_3_3_3_8;10665;83333
C5IAU5_P05622;0_1_1_5_7;0_0_0_1_9;10571;10090
Q5ZIZ6_Q9DGW5;0_1_3_8_9;0_1_3_9;10389;9031
Q65967_Q94AH6;1_3_5_7_9;0_2_3_7;91753;3702
Q8JZ12_Q94AH6;0_1_2_2_4;0_2_3_7;12042;3702
P16599_P34015;0_0_2_5_7_8;0_1_1_1_6;587200;10116
P06804_P34015;0_0_2_5_7_8;0_0_0_1_9;587200;10090
O35903_Q8QMN0;0_1_2_3_4;0_0_0_1_9;10243;10090
O55038_Q8QMN0;0_1_2_3_4;0_0_0_1_9;10243;10090
P40224_Q8QMN0;0_1_2_3_4;0_0_0_1_9;10243;10090
O35903_Q8JLJ0;1_2_3_4_6;0_0_0_1_9;12643;10090
O55038_Q8JLJ0;1_2_3_4_6;0_0_0_1_9;12643;10090
P40224_Q8JLJ0;1_2_3_4_6;0_0_0_1_9;12643;10090
O35903_Q9JFT2;1_2_3_4_6;0_0_0_1_9;12643;10090
O55038_Q9JFT2;1_2_3_4_6;0_0_0_1_9;12643;10090
P40224_Q9JFT2;1_2_3_4_6;0_0_0_1_9;12643;10090
O35903_O57300;1_2_3_4_6;0_0_0_1_9;12643;10090
P03495_P23726;1_1_3_5_7_8;1_3_9_9;381517;9913
P31345_P52293;0_2_3_8_9_9;0_0_0_1_9;392809;10090
Q2F862_Q9Z126;0_1_2_5_8;0_0_0_1_9;10258;10090
P22435_Q9Z2V5;0_0_3_5_5_6;0_0_0_1_9;506350;10090
Q910N6_Q9Z2V5;0_0_3_5_5_6;0_0_0_1_9;506350;10090
A7LCX1_P11207;0_1_1_2_8;2_3_8_9;11208;9823
P11207_Q8R5F7;0_1_1_2_8;0_0_0_1_9;11208;10090
E1BJZ0_P11207;0_1_1_2_8;1_3_9_9;11208;9913
D9N195_P11207;0_1_1_2_8;0_1_3_9;11208;9031
H0Z993_P11207;0_1_1_2_8;2_5_7_9_9;11208;59729
P11207_Q6Q899;0_1_1_2_8;0_0_0_1_9;11208;10090
P0CE47_Q06259;0_1_6_7_8;3_3_3_3_8;10678;83333
P04387_P06492;0_1_2_9_9;2_3_4_9;10299;4932
L7P7M1_Q02MM1;0_1_2_2_2_3_6;0_2_3_6_8_9;1223260;208963
L7P7R7_Q02ML8;1_1_2_2_2_3_6;0_2_3_6_8_9;1223261;208963
E9M5R0_P10148;0_1_2_5_6_7_9;0_0_0_1_9;1605972;10090
E9M5R0_P10855;0_1_2_5_6_7_9;0_0_0_1_9;1605972;10090
P03562_Q8GZB6;1_2_2_3_3_4;0_2_3_7;223341;3702
Q8GZB6_Q96703;1_3_4_4_5_8;0_2_3_7;345184;3702
O22781_P03562;1_2_2_3_3_4;0_2_3_7;223341;3702
O82175_P03562;1_2_2_3_3_4;0_2_3_7;223341;3702
P03562_Q8VZ17;1_2_2_3_3_4;0_2_3_7;223341;3702
O22781_Q96703;1_3_4_4_5_8;0_2_3_7;345184;3702
O82175_Q96703;1_3_4_4_5_8;0_2_3_7;345184;3702
Q8VZ17_Q96703;1_3_4_4_5_8;0_2_3_7;345184;3702
