DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,binary_data
Rhodopirellula_baltica,0
Rhodopseudomonas_palustris,0
Rickettsia,-1
Rickettsia_conorii,0
Rickettsia_prowazekii,0
Rickettsiaceae,-1
Saccharomyces_cerevisiae,0
Saccharomycetaceae,-1
Salmonella,-1
Salmonella_enterica,-1
Salmonella_typhi,0
Salmonella_typhimurium,0
Schizosaccharomyces_pombe,0
Shewanella_oneidensis,0
Shigella,-1
Shigella_flexneri_2a_2457T,-1
Shigella_flexneri_2a_301,-1
Sinorhizobium,-1
Solibacter_usitatus,0
Spirochaetaceae,-1
Spirochaetales,-1
Staphylococcus,-1
Staphylococcus_aureus_MW2,-1
Staphylococcus_aureus_Mu50,-1
Staphylococcus_aureus_N315,-1
Staphylococcus_epidermidis,0
Streptococcaceae,-1
Streptococcus,-1
Streptococcus_agalactiae_III,-1
Streptococcus_agalactiae_V,-1
Streptococcus_mutans,0
Streptococcus_pneumoniae_R6,0
Streptococcus_pneumoniae_TIGR4,0
Streptococcus_pyogenes_M1,-1
Streptococcus_pyogenes_MGAS315,0
Streptococcus_pyogenes_MGAS8232,0
Streptococcus_pyogenes_SSI-1,-1
Streptomyces,-1
Streptomyces_avermitilis,0
Streptomyces_coelicolor,0
Streptophyta,-1
Sulfolobus,-1
Sulfolobus_solfataricus,0
Sulfolobus_tokodaii,0
Synechococcus_elongatus,0
Synechococcus_sp._WH8102,0
Synechocystis_sp._PCC6803,0
Takifugu_rubripes,0
Thalassiosira_pseudonana,0
Thermoanaerobacter_tengcongensis,0
Thermoplasma,-1
Thermoplasma_acidophilum,0
Thermoplasma_volcanium,0
Thermoprotei,-1
Thermotoga_maritima,0
Thermus_thermophilus,0
Treponema,-1
Treponema_denticola,0
Treponema_pallidum,0
Tropheryma,-1
Tropheryma_whipplei_Twist,0
Ureaplasma_parvum,0
Vibrio,-1
Vibrio_cholerae,0
Vibrio_parahaemolyticus,0
Vibrio_vulnificus_CMCP6,0
Vibrio_vulnificus_YJ016,0
Vibrionaceae,-1
Wigglesworthia_brevipalpis,0
Wolbachia_sp._wMel,-1
Wolinella_succinogenes,0
Xanthomonadaceae,-1
Xanthomonas,-1
Xanthomonas_axonopodis,0
Xanthomonas_campestris,0
Xylella,-1
Xylella_fastidiosa_700964,-1
Xylella_fastidiosa_9a5c,0
Yersinia,-1
Yersinia_pestis_CO92,-1
Yersinia_pestis_KIM,-1
Yersinia_pestis_Medievalis,-1
