DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,binary_data
Pyrococcus,-1
Pyrococcus_abyssi,-1
Pyrococcus_furiosus,-1
Pyrococcus_horikoshii,-1
Ralstonia_solanacearum,-1
Rattus_norvegicus,-1
Rhizobiales,-1
Rhizobium_loti,-1
Rhizobium_meliloti,-1
Rhodopirellula_baltica,-1
Rhodopseudomonas_palustris,-1
Rickettsia,-1
Rickettsia_conorii,0
Rickettsia_prowazekii,0
Rickettsiaceae,-1
Saccharomyces_cerevisiae,-1
Saccharomycetaceae,-1
Salmonella,-1
Salmonella_enterica,-1
Salmonella_typhi,0
Salmonella_typhimurium,0
Schizosaccharomyces_pombe,-1
Shewanella_oneidensis,-1
Shigella,-1
Shigella_flexneri_2a_2457T,0
Shigella_flexneri_2a_301,0
Sinorhizobium,-1
Solibacter_usitatus,-1
Spirochaetaceae,-1
Spirochaetales,-1
Staphylococcus,-1
Staphylococcus_aureus_MW2,0
Staphylococcus_aureus_Mu50,1
Staphylococcus_aureus_N315,1
Staphylococcus_epidermidis,-1
Streptococcaceae,-1
Streptococcus,-1
Streptococcus_agalactiae_III,0
Streptococcus_agalactiae_V,0
Streptococcus_mutans,-1
Streptococcus_pneumoniae_R6,1
Streptococcus_pneumoniae_TIGR4,1
Streptococcus_pyogenes_M1,1
Streptococcus_pyogenes_MGAS315,1
Streptococcus_pyogenes_MGAS8232,1
Streptomyces,-1
Streptomyces_avermitilis,-1
Streptomyces_coelicolor,-1
Streptophyta,-1
Sulfolobus,-1
Sulfolobus_solfataricus,-1
Sulfolobus_tokodaii,-1
Synechococcus_elongatus,-1
Takifugu_rubripes,-1
Thalassiosira_pseudonana,-1
Thermoanaerobacter_tengcongensis,-1
Thermoplasma,-1
Thermoplasma_acidophilum,-1
Thermoplasma_volcanium,-1
Thermoprotei,-1
Thermotoga_maritima,-1
Thermus_thermophilus,-1
Treponema,-1
Treponema_denticola,-1
Treponema_pallidum,-1
Tropheryma,-1
Tropheryma_whipplei_Twist,0
Ureaplasma_parvum,-1
Vibrio,-1
Vibrio_cholerae,-1
Vibrio_parahaemolyticus,0
Vibrio_vulnificus_CMCP6,-1
Vibrio_vulnificus_YJ016,-1
Vibrionaceae,-1
Wigglesworthia_brevipalpis,-1
Wolinella_succinogenes,-1
Xanthomonadaceae,-1
Xanthomonas,-1
Xanthomonas_axonopodis,-1
Xanthomonas_campestris,-1
Xylella,-1
Xylella_fastidiosa_700964,0
Xylella_fastidiosa_9a5c,0
Yersinia,-1
Yersinia_pestis_CO92,0
Yersinia_pestis_KIM,0
Yersinia_pestis_Medievalis,0
