I3J734	PF06747	8128
Q5KE84	PF01008	214684
F6R113	PF12597	9544
B6AJ88	PF05620	441375
A0A0F6SEE8	PF01553	927083
A0A0B2VY00	PF01553	6265
A0A0A6Q7I9	PF00034	159450
I1G4Q6	PF06747	400682
A0A0W0G2R3	PF10296	221103
G3JKH3	PF04068	983644
A4YNV9	PF00034	114615
L8D986	PF00034	1268239
S0DQE8	PF01883	1279085
A0A0T5ZFR5	PF01883	1640512
Q5M9G7	PF06862	10116
A0A0R1UL46	PF01255	1423742
L5M508	PF02453	225400
A0A091NM85	PF06102	57397
M3WZN0	PF06747	9685
M3WZN7	PF02020	9685
K4RF64	PF01553	1214101
A0A0C3DT98	PF00034	1036808
A5URH0	PF01883	357808
Q0ASL3	PF00034	394221
A0A0C7MVI4	PF05700	1245769
A8LJ45	PF00034	398580
H0W8J9	PF05254	10141
Q5ZJF6	PF13959	9031
H2BSJ4	PF01883	865937
A0A0D9WJE2	PF02453	77586
V4P508	PF02475	72664
I4W8H6	PF01883	1162282
E1V3C9	PF01553	768066
I3ZAP8	PF00034	866536
A0A0D2FPP3	PF06747	5601
A0A067M7A2	PF06842	930990
A0A0P1ID57	PF01553	1715693
A0A0F8BJN3	PF04950	88771
W4FDR4	PF08490	112090
J9EF35	PF14377	6293
B8KTR0	PF00034	565045
A0A091UYR8	PF08585	128390
H6MV93	PF01883	1112204
A0A0A1NXN9	PF10363,PF10304	58291
A0A0J7IW65	PF01553	1304281
A0A0S6XPU0	PF04068	1603295
A0A0N4Z8S8	PF08585	131310
A0A0C2BBH6	PF01553	1576605
A0A015K000	PF03909	1432141
A0A0L9TSZ0	PF03657	3914
C5M549	PF08585	294747
B2JS31	PF00034	391038
A0A0Q9YEA8	PF00034	437022
J3L4P7	PF01553	4533
U7P5C5	PF01553	1397528
N0BE36	PF01255	387631
A0A0P7BIT3	PF11865	78410
V4BEH0	PF13959	225164
A1UJ78	PF01553	189918
A0A066XJ37	PF04502	1173701
A0A073AWD1	PF09369	28042
A1UJ77	PF01553	189918
M7NMF7	PF01008	1069680
Q2UHS3	PF08226	510516
A0A059EGT7	PF03657	1240240
W7Q3E7	PF06127	1403540
A0A0R2D4A8	PF01883	1423796
I0RLS8	PF01553	1150591
N4UYR7	PF06747	1229664
L9KGX8	PF09324	246437
A0A0C2T4X6	PF06747	946122
G9PD35	PF01553	435830
A0A151DYE9	PF01008	1803817
A0A078LTD4	PF00034	1499686
A0A072PGA1	PF09736	1182545
A0A0L0N7J5	PF12066	1163406
A0A0L7L420	PF13959	104452
W8EX19	PF06127	1227739
W6MPZ3	PF05254	1382522
G9A088	PF11935	1076872
B4G4C6	PF09811	7234
A0A0E0JR68	PF01553	4537
A0A0F4RIP6	PF00034	579483
G3YFW8	PF02020	380704
J9QYB0	PF01255	1228997
D8RGB2	PF09324	88036
M4AFS0	PF01255	8083
W5LM03	PF02453	7994
A0A094HUS2	PF11894	1420913
C9LYV7	PF01930	546271
A0A132ACM1	PF01553	52283
A0A0A1NEB9	PF04502	58291
A0A0L9V7F6	PF09811	3914
A0A0A0M3P5	PF00034	1385515
M8DCR9	PF01930	1300222
H6ND67	PF01553	1116391
Q11087	PF01553	6239
G7X9N6	PF13959	1033177
A0A078CK37	PF01008	3708
A0A0L0NYY6	PF06862	498019
U4L4S2	PF12054	1076935
G4Z5L9	PF12066	1094619
A0A0F2QT87	PF00034	1629708
A0A103E790	PF00034	1385593
A0A0N5DDI8	PF13959	70415
